region,street,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,nettPrice
CCR,SHENTON WAY,141,11-15,1,1019,3,2300000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,146,16-20,1,0418,3,2550000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,102,36-40,1,0619,3,1850000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,41-45,1,0816,3,1196000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,103,11-15,1,0118,3,1700000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,26-30,1,0720,3,1000000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,36-40,1,0318,3,1190000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,84,36-40,1,0218,3,2000000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,103,11-15,1,0218,3,1738000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,36-40,1,1219,3,1060000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,142,11-15,1,0919,3,2100000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,112,31-35,1,0820,3,1930000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,102,31-35,1,1017,3,1710000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,148,26-30,1,0619,3,2453220,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,57,26-30,1,0819,3,1226000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,49,11-15,1,0120,3,1030000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,149,31-35,1,0418,3,2727200,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,149,26-30,1,1019,3,2500000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,104,16-20,1,1017,3,1780000,Apartment,01,Strata,99 yrs lease commencing from 2005,
